sector,quarter,date,weighted_P/E,n_P/E,weighted_ROE,n_ROE,weighted_P/E_lower,weighted_P/E_upper,weighted_ROE_lower,weighted_ROE_upper
Communication Services,2018Q1,2018-01-01,41.1157,2,5.5486,10,,,3.1506,8.0515
Communication Services,2018Q2,2018-04-01,18.6880,2,6.2186,10,,,4.1912,7.5978
Communication Services,2018Q3,2018-07-01,34.0170,2,5.2895,10,21.9392,32.9420,3.4496,6.4268
Communication Services,2018Q4,2018-10-01,32.2704,2,9.7255,10,8.2625,31.0203,4.7406,20.0388
Communication Services,2019Q1,2019-01-01,78.0639,2,3.4823,12,13.0932,86.6865,2.8786,17.5183
Communication Services,2019Q2,2019-04-01,48.2323,2,7.3160,12,21.0221,82.2351,3.2719,14.7575
Communication Services,2019Q3,2019-07-01,48.8937,2,7.0940,12,20.6007,80.6335,2.9708,15.4587
Communication Services,2019Q4,2019-10-01,14.5942,2,15.7974,11,18.2656,80.6335,2.9708,14.9058
Communication Services,2020Q1,2020-01-01,38.7596,1,5.2364,12,18.1024,42.9712,3.5979,14.9058
Communication Services,2020Q2,2020-04-01,78.7617,1,-6.6997,11,18.2656,74.4939,3.3530,14.8586
Communication Services,2020Q3,2020-07-01,147.7738,2,14.8132,10,23.1702,73.3290,3.3939,12.7001
Communication Services,2020Q4,2020-10-01,157.9456,2,22.9183,11,17.8497,73.3290,3.3939,22.4238
Communication Services,2021Q1,2021-01-01,188.7043,2,10.4323,11,25.1934,132.4069,2.2947,20.5371
Communication Services,2021Q2,2021-04-01,,0,7.5631,10,16.1934,143.3065,3.3502,19.2005
Communication Services,2021Q3,2021-07-01,,0,3.7736,11,,,3.8208,14.0368
Communication Services,2021Q4,2021-10-01,138.1241,1,26.8474,11,,,3.8208,8.8596
Communication Services,2022Q1,2022-01-01,176.0332,1,6.5970,11,,,0.4565,7.9130
Communication Services,2022Q2,2022-04-01,,0,-0.4836,11,,,-0.9557,7.0822
Communication Services,2022Q3,2022-07-01,105.4089,1,-5.3505,11,,,-0.9557,7.5533
Communication Services,2022Q4,2022-10-01,32.4996,1,5.7392,12,,,-0.9557,1.6877
Communication Services,2023Q1,2023-01-01,,0,3.4901,9,,,-1.0716,2.5237
Communication Services,2023Q2,2023-04-01,,0,-5.5686,10,,,-9.4617,7.4163
Communication Services,2023Q3,2023-07-01,,0,13.2287,11,,,-3.6817,12.6420
Communication Services,2023Q4,2023-10-01,,0,5.5393,10,,,-5.2049,13.7768
Consumer Discretionary,2018Q1,2018-01-01,74.3976,9,3.4556,32,60.8533,91.3826,-16.3174,22.6272
Consumer Discretionary,2018Q2,2018-04-01,84.3185,8,-1.5203,34,67.5870,92.9357,-14.7363,14.5223
Consumer Discretionary,2018Q3,2018-07-01,79.0877,10,3.2781,38,69.7434,89.6761,-9.3885,11.1098
Consumer Discretionary,2018Q4,2018-10-01,49.4243,10,9.0783,39,62.5435,83.0533,-3.8200,10.6929
Consumer Discretionary,2019Q1,2019-01-01,86.1595,8,5.8283,34,61.8721,87.4117,-2.7510,10.0037
Consumer Discretionary,2019Q2,2019-04-01,72.6979,8,3.8905,38,59.5773,85.3509,-0.0496,10.1705
Consumer Discretionary,2019Q3,2019-07-01,66.5320,9,-5.2211,38,55.6872,82.4663,-7.2943,10.0886
Consumer Discretionary,2019Q4,2019-10-01,34.3941,11,14.6008,37,47.2180,76.3008,-4.7578,11.9213
Consumer Discretionary,2020Q1,2020-01-01,52.3326,8,25.4234,39,40.3693,71.6452,-2.7301,20.6667
Consumer Discretionary,2020Q2,2020-04-01,80.5932,4,-11.8592,40,35.2496,70.7070,-7.0511,17.9559
Consumer Discretionary,2020Q3,2020-07-01,70.8372,8,-3.4638,41,37.8955,71.2733,-6.2778,14.6955
Consumer Discretionary,2020Q4,2020-10-01,32.8250,6,7.0750,40,39.5006,74.7234,-6.4616,13.5273
Consumer Discretionary,2021Q1,2021-01-01,87.2754,9,-6.7216,44,45.8825,88.7014,-12.0677,4.6536
Consumer Discretionary,2021Q2,2021-04-01,149.8542,8,0.6771,43,56.0221,135.7097,-7.9580,4.9895
Consumer Discretionary,2021Q3,2021-07-01,48.5357,8,5.2472,43,51.0983,136.5872,-5.5954,6.5614
Consumer Discretionary,2021Q4,2021-10-01,44.8753,8,13.7532,41,49.9657,125.8258,-3.2690,10.2215
Consumer Discretionary,2022Q1,2022-01-01,47.6932,8,13.1471,42,43.2967,124.8966,2.3669,14.1251
Consumer Discretionary,2022Q2,2022-04-01,37.4653,8,6.0791,44,31.9624,57.3821,4.5440,15.5532
Consumer Discretionary,2022Q3,2022-07-01,57.4278,8,6.2979,44,34.3535,57.8097,4.3166,14.5871
Consumer Discretionary,2022Q4,2022-10-01,26.2661,8,24.3845,43,29.9448,51.3423,6.1480,19.3413
Consumer Discretionary,2023Q1,2023-01-01,,0,9.2270,29,28.6888,49.1225,5.5836,18.8928
Consumer Discretionary,2023Q2,2023-04-01,,0,5.6273,34,26.3854,53.3835,5.0970,18.4781
Consumer Discretionary,2023Q3,2023-07-01,,0,5.6160,38,12.1885,39.5458,4.8995,19.8110
Consumer Discretionary,2023Q4,2023-10-01,,0,24.7338,34,,,5.1161,20.7225
Consumer Staples,2018Q1,2018-01-01,55.8018,7,13.7341,20,37.4871,76.5031,5.8841,21.6249
Consumer Staples,2018Q2,2018-04-01,39.4817,6,4.0834,22,49.9430,74.7113,-6.7124,18.9354
Consumer Staples,2018Q3,2018-07-01,64.8709,7,18.1925,22,51.8766,72.6946,1.7425,20.7883
Consumer Staples,2018Q4,2018-10-01,68.6648,7,14.3111,21,55.1987,73.6485,4.3927,19.2991
Consumer Staples,2019Q1,2019-01-01,73.7572,5,10.1061,22,62.3498,79.4992,3.8693,18.8636
Consumer Staples,2019Q2,2019-04-01,56.4203,6,40.8583,23,52.1087,79.2632,8.0329,38.4653
Consumer Staples,2019Q3,2019-07-01,84.5350,5,13.3667,22,57.1278,84.1574,6.3528,37.7447
Consumer Staples,2019Q4,2019-10-01,54.9121,6,9.7584,22,52.2184,85.0391,7.2762,43.0550
Consumer Staples,2020Q1,2020-01-01,65.4329,7,1.4943,23,46.8956,82.6299,9.7045,45.3863
Consumer Staples,2020Q2,2020-04-01,61.9218,7,24.0145,25,44.6638,82.2303,9.2286,52.7024
Consumer Staples,2020Q3,2020-07-01,69.2248,7,20.2989,22,43.3828,82.9182,10.8941,53.9477
Consumer Staples,2020Q4,2020-10-01,50.7285,7,23.0230,25,41.1773,80.4992,10.0252,51.7876
Consumer Staples,2021Q1,2021-01-01,91.2777,6,17.8481,23,44.0408,85.4774,5.1001,47.9783
Consumer Staples,2021Q2,2021-04-01,66.3020,7,23.5823,24,42.1038,85.4111,4.7468,44.8072
Consumer Staples,2021Q3,2021-07-01,129.6536,7,16.2683,24,55.3216,110.5921,3.4779,44.2759
Consumer Staples,2021Q4,2021-10-01,132.5921,7,13.9041,27,63.7525,149.3994,3.6937,41.9810
Consumer Staples,2022Q1,2022-01-01,86.4462,7,18.9013,22,68.3490,145.3902,8.8701,46.5100
Consumer Staples,2022Q2,2022-04-01,66.5736,7,37.8500,22,70.7211,144.5198,10.6758,37.4564
Consumer Staples,2022Q3,2022-07-01,91.9241,6,16.8751,22,60.8366,132.8058,10.1730,38.2032
Consumer Staples,2022Q4,2022-10-01,77.0273,7,11.4733,23,59.1919,101.3268,10.4869,40.3538
Consumer Staples,2023Q1,2023-01-01,,0,5.3067,16,49.6334,107.8341,8.3551,47.7139
Consumer Staples,2023Q2,2023-04-01,,0,-4.7203,19,47.0262,123.6062,5.6060,21.7371
Consumer Staples,2023Q3,2023-07-01,,0,1.3952,22,32.1208,137.9331,-5.2960,12.4528
Consumer Staples,2023Q4,2023-10-01,,0,12.3727,20,,,-5.3369,11.6862
Energy,2018Q1,2018-01-01,70.6105,1,0.3163,11,,,-2.9732,2.7007
Energy,2018Q2,2018-04-01,195.1713,1,2.3958,12,,,-0.6106,2.9800
Energy,2018Q3,2018-07-01,58.9285,1,5.1286,12,,,1.9697,5.8419
Energy,2018Q4,2018-10-01,13.3723,1,4.6423,13,,,1.9697,5.8419
Energy,2019Q1,2019-01-01,31.0429,1,1.5035,12,,,1.9697,11.3214
Energy,2019Q2,2019-04-01,39.9504,1,3.2279,12,,,5.8419,11.3214
Energy,2019Q3,2019-07-01,59.9361,1,-1.7678,12,,,4.0820,11.3214
Energy,2019Q4,2019-10-01,8.0588,1,-1.3084,13,,,4.0820,11.3214
Energy,2020Q1,2020-01-01,100.4195,1,-26.1478,12,,,2.4862,7.7196
Energy,2020Q2,2020-04-01,163.9496,1,-8.7340,12,,,1.4023,4.0820
Energy,2020Q3,2020-07-01,,0,-2.1871,14,,,-0.7062,2.4862
Energy,2020Q4,2020-10-01,25.1353,1,-31.9818,15,,,-0.7062,2.4862
Energy,2021Q1,2021-01-01,31.1331,2,1.7121,15,,,-0.7062,5.4794
Energy,2021Q2,2021-04-01,96.7107,2,3.7260,15,20.3837,112.4725,-0.7062,5.4794
Energy,2021Q3,2021-07-01,106.9444,1,2.7894,15,24.6061,111.3287,1.3246,5.4794
Energy,2021Q4,2021-10-01,7.9225,2,14.1169,15,15.2364,93.2320,2.0882,8.9894
Energy,2022Q1,2022-01-01,18.5566,2,3.9479,16,13.0997,81.9364,2.0882,8.2380
Energy,2022Q2,2022-04-01,12.8936,2,11.7439,16,9.1336,43.2805,4.5077,10.0152
Energy,2022Q3,2022-07-01,19.3751,2,10.2363,17,10.1209,22.0380,6.3830,10.0152
Energy,2022Q4,2022-10-01,4.0406,2,31.7117,16,8.0149,20.6089,6.3830,26.2990
Energy,2023Q1,2023-01-01,,0,8.1989,16,6.9188,16.4590,9.4478,32.1115
Energy,2023Q2,2023-04-01,,0,5.7711,16,,,10.8739,17.5613
Energy,2023Q3,2023-07-01,,0,6.7197,16,,,10.0300,16.5414
Energy,2023Q4,2023-10-01,,0,25.8240,16,,,9.2518,14.2993
Financials,2018Q1,2018-01-01,90.1641,9,2.8671,23,60.2230,129.7763,1.6788,6.6411
Financials,2018Q2,2018-04-01,72.6971,9,3.3883,23,57.0113,113.2381,2.2040,5.2718
Financials,2018Q3,2018-07-01,87.4831,9,3.6457,25,56.8272,116.3518,2.3948,5.0030
Financials,2018Q4,2018-10-01,77.3896,9,6.4861,26,57.6906,110.5239,2.8182,5.8300
Financials,2019Q1,2019-01-01,96.0585,9,2.7723,25,57.1395,113.3200,2.7961,5.7552
Financials,2019Q2,2019-04-01,111.6519,9,2.8927,26,68.7951,120.8743,2.4890,5.7625
Financials,2019Q3,2019-07-01,123.3761,9,1.6714,28,74.2820,132.7403,1.7869,5.3540
Financials,2019Q4,2019-10-01,63.1705,9,5.1142,30,71.2369,129.4537,1.7399,5.8334
Financials,2020Q1,2020-01-01,127.8283,7,1.6831,29,73.6779,138.0434,1.3713,5.8097
Financials,2020Q2,2020-04-01,84.0581,7,3.5318,29,66.4510,130.5954,1.3279,6.5966
Financials,2020Q3,2020-07-01,83.7197,9,5.4341,30,59.5102,110.6759,1.4131,9.4067
Financials,2020Q4,2020-10-01,107.9084,8,3.4077,30,74.2126,121.7964,1.3217,9.5667
Financials,2021Q1,2021-01-01,112.3095,9,1.5734,29,74.8874,118.8996,1.0271,8.8435
Financials,2021Q2,2021-04-01,56.1454,9,4.3289,28,66.1299,117.0756,1.2881,9.3270
Financials,2021Q3,2021-07-01,72.5368,9,6.3717,30,65.9732,112.6537,1.3912,9.4571
Financials,2021Q4,2021-10-01,73.9766,9,6.4401,32,52.1255,105.5203,2.0178,9.8346
Financials,2022Q1,2022-01-01,85.9715,9,4.7470,30,49.8751,100.0990,2.6790,11.1267
Financials,2022Q2,2022-04-01,107.1464,8,5.1048,31,59.0655,114.0844,2.7419,10.9596
Financials,2022Q3,2022-07-01,90.7624,9,7.2336,32,62.5569,118.8944,3.0159,10.1066
Financials,2022Q4,2022-10-01,85.7313,8,-18.5491,32,66.2945,116.9847,-12.5121,10.2708
Financials,2023Q1,2023-01-01,,0,-1.5077,23,65.0886,126.7438,-17.6497,10.5418
Financials,2023Q2,2023-04-01,,0,6.7619,23,57.9470,120.6633,-26.1288,9.4391
Financials,2023Q3,2023-07-01,,0,1.0376,24,26.7074,138.0580,-35.5294,6.4994
Financials,2023Q4,2023-10-01,,0,5.9633,24,,,-33.7622,-0.9186
Health Care,2018Q1,2018-01-01,106.8486,8,3.4201,39,67.2001,160.3743,-3.5089,9.2973
Health Care,2018Q2,2018-04-01,118.7293,11,6.0024,38,75.8123,153.5815,0.7715,8.4853
Health Care,2018Q3,2018-07-01,86.1373,12,4.9390,38,77.2734,134.2365,2.0214,7.5702
Health Care,2018Q4,2018-10-01,46.5033,11,9.3800,41,66.3027,118.3971,3.2118,8.6502
Health Care,2019Q1,2019-01-01,106.4135,12,1.5573,37,69.8588,121.0713,3.3045,7.8665
Health Care,2019Q2,2019-04-01,112.3920,13,4.5193,34,74.3055,113.2420,2.9591,7.4943
Health Care,2019Q3,2019-07-01,108.2661,12,1.3483,37,81.5366,117.0785,1.9072,6.9417
Health Care,2019Q4,2019-10-01,32.1560,15,15.3218,39,71.9112,108.4528,3.2417,8.2878
Health Care,2020Q1,2020-01-01,78.8533,11,4.1705,39,66.1308,98.4806,3.1039,9.8870
Health Care,2020Q2,2020-04-01,104.7947,11,5.9346,43,62.5833,97.3128,3.5542,9.8297
Health Care,2020Q3,2020-07-01,100.9606,15,7.9955,45,59.4846,100.8267,5.2473,11.1315
Health Care,2020Q4,2020-10-01,32.3165,14,13.1260,42,56.5660,100.8014,1.1622,15.1348
Health Care,2021Q1,2021-01-01,105.5663,16,16.8258,42,65.5439,107.7518,4.0028,18.0088
Health Care,2021Q2,2021-04-01,110.6284,16,6.9769,44,69.2385,117.6244,2.0838,18.3423
Health Care,2021Q3,2021-07-01,103.2431,18,13.0452,42,69.9707,124.5396,4.1103,20.0722
Health Care,2021Q4,2021-10-01,38.5044,17,36.4416,42,65.8149,115.5840,9.4376,27.5551
Health Care,2022Q1,2022-01-01,87.8064,15,3.3299,42,61.4758,113.8614,6.1460,25.0678
Health Care,2022Q2,2022-04-01,84.9131,17,2.0516,44,56.8277,104.0281,5.6246,25.1504
Health Care,2022Q3,2022-07-01,81.7641,17,-4.3844,45,52.0939,87.5300,1.2108,22.2041
Health Care,2022Q4,2022-10-01,53.5677,17,11.9246,45,57.8781,97.7965,-4.8481,10.7307
Health Care,2023Q1,2023-01-01,,0,0.0351,27,56.0789,92.2446,-11.7821,10.2507
Health Care,2023Q2,2023-04-01,,0,-8.2018,29,45.7114,92.9666,-15.0632,11.4423
Health Care,2023Q3,2023-07-01,,0,-5.3250,30,26.3348,91.1494,-19.7178,13.8754
Health Care,2023Q4,2023-10-01,,0,16.3139,29,,,-30.7740,14.5283
Industrials,2018Q1,2018-01-01,98.1479,17,6.1312,44,79.1662,120.5878,3.6567,9.2912
Industrials,2018Q2,2018-04-01,75.4017,16,8.0004,45,73.5048,104.4927,4.8175,9.1873
Industrials,2018Q3,2018-07-01,74.8839,15,8.8292,46,73.5404,95.7761,5.5040,10.0965
Industrials,2018Q4,2018-10-01,62.6664,18,10.1765,54,67.7037,92.3713,4.6109,12.1031
Industrials,2019Q1,2019-01-01,103.6085,16,5.0162,49,67.1636,92.9188,4.1281,12.1167
Industrials,2019Q2,2019-04-01,77.4910,16,6.2591,49,69.9899,93.0664,3.8400,11.6142
Industrials,2019Q3,2019-07-01,75.3464,16,5.3166,50,68.8125,92.2333,3.1605,10.1597
Industrials,2019Q4,2019-10-01,21.4311,16,1.6745,52,58.4671,81.0574,-4.7144,11.5496
Industrials,2020Q1,2020-01-01,110.4856,14,4.7748,49,57.3114,82.2426,-5.4282,11.2307
Industrials,2020Q2,2020-04-01,99.2189,16,4.5922,51,61.0139,89.4676,-3.6607,10.2439
Industrials,2020Q3,2020-07-01,82.5270,14,4.9555,48,63.0773,92.7554,-4.1563,9.4777
Industrials,2020Q4,2020-10-01,55.6244,16,-2.6142,53,66.7155,99.9335,-5.6907,9.2040
Industrials,2021Q1,2021-01-01,98.3269,15,7.0897,50,65.2248,98.6960,-4.5527,10.0068
Industrials,2021Q2,2021-04-01,108.6464,14,3.0044,52,66.4316,107.5037,-4.3831,8.6540
Industrials,2021Q3,2021-07-01,95.9132,16,3.0868,52,70.7035,110.9803,-3.4148,8.1520
Industrials,2021Q4,2021-10-01,49.6827,20,0.2724,60,66.7730,103.3532,-4.1692,9.2924
Industrials,2022Q1,2022-01-01,104.8332,15,6.0149,49,67.5296,105.2928,-4.1424,9.2452
Industrials,2022Q2,2022-04-01,91.5674,17,5.0895,55,61.5622,99.6509,-4.2724,9.4192
Industrials,2022Q3,2022-07-01,77.0225,18,4.7199,57,58.9200,95.6698,-4.1286,11.3612
Industrials,2022Q4,2022-10-01,24.8465,21,10.0389,62,55.6417,92.4887,-0.0926,13.8268
Industrials,2023Q1,2023-01-01,,0,6.1681,40,45.5152,84.4522,-2.7213,14.1963
Industrials,2023Q2,2023-04-01,,0,7.6979,43,33.4297,68.3314,-6.3597,17.3016
Industrials,2023Q3,2023-07-01,,0,5.9054,44,15.7636,35.4856,-10.7366,19.4896
Industrials,2023Q4,2023-10-01,,0,17.2854,47,,,-23.3912,-7.0645
Information Technology,2018Q1,2018-01-01,82.5230,9,0.8821,52,41.4835,147.1845,-14.0774,16.0802
Information Technology,2018Q2,2018-04-01,126.0976,11,5.6371,52,63.5307,158.0856,-5.5687,10.9651
Information Technology,2018Q3,2018-07-01,92.2031,11,1.0635,53,72.0252,137.5200,-5.1887,8.3244
Information Technology,2018Q4,2018-10-01,54.4995,10,11.9121,50,65.4553,122.0202,-1.5959,10.0888
Information Technology,2019Q1,2019-01-01,82.7322,11,6.7424,54,67.9582,118.8490,0.8521,9.7255
Information Technology,2019Q2,2019-04-01,86.6166,12,7.6616,54,61.0822,101.7268,1.7423,10.2728
Information Technology,2019Q3,2019-07-01,82.5914,12,18.1722,52,59.7061,97.9758,4.0359,20.1301
Information Technology,2019Q4,2019-10-01,60.0996,12,18.4986,53,60.4185,96.3047,5.6612,21.0199
Information Technology,2020Q1,2020-01-01,87.5781,13,3.3450,57,62.1293,97.9845,2.9786,20.0359
Information Technology,2020Q2,2020-04-01,123.0919,13,8.2363,55,69.2581,112.4498,3.0090,20.6000
Information Technology,2020Q3,2020-07-01,115.9564,11,69.1169,55,74.5760,119.1296,6.1995,64.1037
Information Technology,2020Q4,2020-10-01,51.6112,12,39.7687,56,71.6183,115.5819,8.5112,61.2571
Information Technology,2021Q1,2021-01-01,107.8053,11,29.2839,51,76.4289,122.0329,14.4320,58.4891
Information Technology,2021Q2,2021-04-01,111.4805,11,26.3332,57,73.3857,126.1258,20.7557,58.3487
Information Technology,2021Q3,2021-07-01,119.8402,13,73.9194,56,75.2148,132.4839,20.0592,67.3537
Information Technology,2021Q4,2021-10-01,58.3142,16,44.7764,66,71.8654,122.4818,19.1095,65.7428
Information Technology,2022Q1,2022-01-01,125.5031,10,31.9310,47,76.2074,127.6778,18.2456,63.4967
Information Technology,2022Q2,2022-04-01,88.7030,12,25.7913,57,74.1408,121.7527,18.6345,64.6064
Information Technology,2022Q3,2022-07-01,80.1851,15,77.4291,61,65.8006,101.8309,20.1302,64.7848
Information Technology,2022Q4,2022-10-01,44.4959,15,47.5890,63,64.9803,103.0922,19.8133,67.1412
Information Technology,2023Q1,2023-01-01,,0,13.5799,38,53.8659,90.3834,10.0664,71.0549
Information Technology,2023Q2,2023-04-01,,0,32.6654,44,43.5882,86.4020,11.0888,74.4077
Information Technology,2023Q3,2023-07-01,,0,58.4509,47,24.3065,78.4244,23.2610,68.4280
Information Technology,2023Q4,2023-10-01,,0,46.9493,47,,,23.8952,68.2457
Materials,2018Q1,2018-01-01,83.7865,8,2.8820,11,70.2720,133.6690,1.3357,8.6769
Materials,2018Q2,2018-04-01,54.7776,8,4.2681,12,54.9924,101.5630,1.8649,9.5454
Materials,2018Q3,2018-07-01,120.8471,7,4.2491,12,56.3780,123.7652,1.9445,8.7387
Materials,2018Q4,2018-10-01,45.9668,8,4.1920,13,48.4797,110.1520,2.1677,8.6495
Materials,2019Q1,2019-01-01,121.5464,7,0.6350,13,49.5748,120.0348,1.4356,6.0745
Materials,2019Q2,2019-04-01,87.6948,5,2.2621,12,56.0699,123.8683,1.0909,5.0826
Materials,2019Q3,2019-07-01,134.7462,7,3.3470,13,60.1861,129.2771,1.1927,4.8529
Materials,2019Q4,2019-10-01,31.7923,7,4.8395,13,66.0196,128.6155,1.1332,4.3315
Materials,2020Q1,2020-01-01,69.5786,5,2.5221,13,51.1886,126.1134,1.6665,5.5548
Materials,2020Q2,2020-04-01,158.3052,7,2.1280,14,55.0682,144.0323,1.5820,5.8006
Materials,2020Q3,2020-07-01,107.6814,5,3.5258,14,53.2036,129.2589,1.5904,5.8268
Materials,2020Q4,2020-10-01,33.7283,6,10.0273,12,53.8040,132.3073,1.6201,10.5260
Materials,2021Q1,2021-01-01,67.2675,7,7.3041,13,49.9105,120.0558,2.8176,12.0860
Materials,2021Q2,2021-04-01,70.3394,7,7.4656,14,42.0320,89.9988,3.5561,13.1077
Materials,2021Q3,2021-07-01,114.1888,7,6.6745,14,47.3253,100.1500,4.0511,12.4865
Materials,2021Q4,2021-10-01,48.7907,8,29.7884,13,45.0015,97.6144,4.9559,26.2134
Materials,2022Q1,2022-01-01,54.2083,8,7.9827,14,45.6905,94.8158,5.3693,24.7880
Materials,2022Q2,2022-04-01,100.5203,7,7.3388,15,42.8192,104.0456,5.1815,27.7849
Materials,2022Q3,2022-07-01,36.5175,7,7.4779,15,29.0418,89.3647,5.4946,26.8551
Materials,2022Q4,2022-10-01,15.9977,8,25.5029,14,23.2456,88.0232,5.9203,21.8787
Materials,2023Q1,2023-01-01,,0,4.3268,8,17.6890,97.9094,5.6604,22.1615
Materials,2023Q2,2023-04-01,,0,6.7819,10,14.2065,37.2507,6.3215,24.0552
Materials,2023Q3,2023-07-01,,0,7.0994,11,5.9024,31.3196,6.8468,24.8220
Materials,2023Q4,2023-10-01,,0,19.2610,11,,,6.4354,26.1887
Real Estate,2018Q1,2018-01-01,107.7142,8,1.5361,16,82.1331,151.2383,0.0698,2.8253
Real Estate,2018Q2,2018-04-01,98.7926,8,2.4158,16,85.5969,127.7686,1.0054,2.9662
Real Estate,2018Q3,2018-07-01,107.9959,8,2.5567,16,88.4952,124.4081,1.2767,2.9781
Real Estate,2018Q4,2018-10-01,113.8587,8,5.4560,17,89.7503,127.5407,1.7760,4.6876
Real Estate,2019Q1,2019-01-01,156.6079,6,1.3475,15,95.0120,137.7144,1.7150,4.6945
Real Estate,2019Q2,2019-04-01,161.1015,7,1.4930,15,109.0953,160.4766,1.4333,4.2287
Real Estate,2019Q3,2019-07-01,166.5492,5,1.3879,15,122.0343,175.5097,1.2228,3.7287
Real Estate,2019Q4,2019-10-01,108.6244,9,6.5066,16,113.0746,171.6270,1.0563,4.7803
Real Estate,2020Q1,2020-01-01,79.4856,7,2.8813,17,96.8964,158.4013,1.4728,5.0235
Real Estate,2020Q2,2020-04-01,179.6364,7,1.1217,16,99.1899,164.8603,1.4266,5.0022
Real Estate,2020Q3,2020-07-01,116.5378,5,1.0788,16,87.4401,156.5430,1.2951,5.0496
Real Estate,2020Q4,2020-10-01,49.4261,8,6.1100,16,70.7888,137.6208,1.5787,4.2352
Real Estate,2021Q1,2021-01-01,117.9367,5,2.6651,15,78.4241,148.7222,1.5891,4.1819
Real Estate,2021Q2,2021-04-01,168.3652,7,2.6759,17,73.0224,159.7534,1.7264,4.5288
Real Estate,2021Q3,2021-07-01,166.1488,6,2.2926,17,86.3991,171.0308,1.9993,4.6268
Real Estate,2021Q4,2021-10-01,78.3892,9,10.4062,16,89.4559,164.9865,2.3278,7.5040
Real Estate,2022Q1,2022-01-01,173.4535,8,2.1584,17,102.5397,175.5796,2.0217,7.3425
Real Estate,2022Q2,2022-04-01,115.7402,8,3.2124,17,97.1795,162.4029,2.1917,7.3965
Real Estate,2022Q3,2022-07-01,166.0427,8,2.3630,17,92.5240,166.1261,2.3097,7.5934
Real Estate,2022Q4,2022-10-01,42.0317,10,8.5563,16,89.2864,163.0477,1.9857,6.0654
Real Estate,2023Q1,2023-01-01,,0,2.3501,7,58.8737,154.2071,2.1407,7.1328
Real Estate,2023Q2,2023-04-01,,0,2.5739,7,42.3387,164.7115,1.7366,8.0614
Real Estate,2023Q3,2023-07-01,,0,1.4285,7,19.1871,66.8477,1.6033,8.8554
Real Estate,2023Q4,2023-10-01,,0,6.4911,7,,,1.7096,5.2932
Utilities,2018Q1,2018-01-01,15.4928,2,5.3430,12,,,2.2503,9.5588
Utilities,2018Q2,2018-04-01,110.1008,4,3.7478,13,23.5042,171.9123,1.8713,12.4507
Utilities,2018Q3,2018-07-01,40.1954,3,3.2067,12,26.9057,129.3089,2.4993,7.8973
Utilities,2018Q4,2018-10-01,18.5324,4,1.8714,12,24.6058,106.6620,2.1888,6.5597
Utilities,2019Q1,2019-01-01,74.0474,4,2.7006,13,36.0083,101.9490,2.1297,3.8086
Utilities,2019Q2,2019-04-01,68.3264,4,1.8623,13,38.0557,71.6458,1.8721,2.9059
Utilities,2019Q3,2019-07-01,37.0103,4,5.3716,13,38.0192,67.4772,2.2670,4.1198
Utilities,2019Q4,2019-10-01,19.4927,5,8.2608,13,35.3222,64.0090,3.0068,5.9674
Utilities,2020Q1,2020-01-01,91.2789,6,3.0783,13,38.9142,78.9555,3.2681,5.9212
Utilities,2020Q2,2020-04-01,66.5290,3,1.5390,13,37.0129,80.8007,3.1022,5.8675
Utilities,2020Q3,2020-07-01,31.5212,3,1.7093,13,35.7458,82.7583,1.0057,5.4537
Utilities,2020Q4,2020-10-01,16.1128,4,7.7719,14,36.7014,85.8038,0.6929,5.6156
Utilities,2021Q1,2021-01-01,82.6380,4,1.5592,15,31.9435,76.5700,0.6921,5.4098
Utilities,2021Q2,2021-04-01,91.8626,4,2.0105,15,35.2256,90.8433,0.7625,5.2137
Utilities,2021Q3,2021-07-01,58.6084,5,5.3268,15,40.6392,93.9685,2.3962,5.6648
Utilities,2021Q4,2021-10-01,16.9325,4,11.7025,14,39.4943,87.5638,2.6441,7.8391
Utilities,2022Q1,2022-01-01,89.8360,4,3.1284,14,41.2716,91.0873,3.3364,7.9576
Utilities,2022Q2,2022-04-01,106.2067,4,1.0301,15,42.7490,98.6604,3.0423,7.8549
Utilities,2022Q3,2022-07-01,62.8750,5,5.6583,15,43.9762,100.2302,2.9433,7.9594
Utilities,2022Q4,2022-10-01,16.4048,4,8.7522,15,41.9038,101.3525,2.7637,6.0403
Utilities,2023Q1,2023-01-01,,0,12.4556,11,32.0222,99.3845,2.6697,6.6468
Utilities,2023Q2,2023-04-01,,0,10.8542,11,19.7591,79.0931,3.6482,7.6569
Utilities,2023Q3,2023-07-01,,0,15.0167,9,,,3.4534,7.7259
Utilities,2023Q4,2023-10-01,,0,20.2995,9,,,2.3794,6.3129
